geneName,4cell,4cell,4cell,4cell,4cell,4cell,4cell
gene82,1770.479431,1617.311610,1417.463796,835.943300,1061.855958,851.536375,1143.829303
gene83,0.000000,0.013209,0.000000,0.000000,0.000000,0.000000,0.000000
gene84,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene85,0.000000,0.000000,0.000000,0.367334,0.000000,0.000000,0.000000
gene86,11.949696,9.817950,40.589616,0.211415,4.085763,16.971822,9.098737
gene87,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene88,0.000000,0.126756,15.467867,48.955414,2.387149,0.033239,20.256695
gene89,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene90,0.013464,7.054074,1.662924,1.820474,8.266086,6.822263,0.000000
gene91,28.841846,193.769302,31.473358,125.057864,76.235292,78.137815,42.999490
gene92,28.256645,93.608842,136.646218,43.892557,116.631890,108.593146,136.915486
gene93,5.726478,9.074891,5.746517,16.447229,0.044024,8.388414,8.438239
gene94,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene95,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene96,0.000000,0.000000,0.000000,0.136340,2.503145,0.000000,0.000000
gene97,3.207132,0.165628,23.746243,9.281493,20.649424,2.568016,28.717129
gene98,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene99,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.701861
gene100,6.583667,2.448630,3.071570,2.059525,2.807455,6.891069,1.417422
gene101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene102,0.000000,0.000000,1.900960,0.000000,0.000000,0.000000,0.000000
gene103,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene104,0.000000,10.373959,5.398311,0.000000,12.648847,27.217939,0.000000
gene105,2.474996,0.000000,0.000000,0.000000,1.046250,0.000000,0.000000
gene106,61.830889,107.761859,79.002959,35.005430,66.201497,65.941305,27.538098
gene107,3.628456,11.551957,13.364601,14.564460,10.267428,3.253736,34.518919
gene108,20.417126,3.054299,0.483330,3.653657,0.000000,5.326855,4.874832
gene109,29.296029,2.164930,37.311112,24.906854,4.076356,11.666213,32.573109
gene110,0.363364,14.846158,0.029565,18.603216,6.494874,2.028111,0.487461
gene111,0.000000,0.000000,0.000000,28.071929,31.210236,28.361467,30.285392
gene112,0.000000,0.000000,0.062184,0.809463,0.000000,0.000000,0.000000
gene113,15.341092,4.924036,0.385688,29.446393,0.327980,12.516575,72.629151
gene114,0.000000,18.703481,0.000000,0.000000,0.000000,0.916858,5.224209
gene115,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene116,54.346518,11.245595,8.133255,52.314598,44.028429,35.759752,70.553976
gene117,28.413309,24.144319,16.407731,39.851245,31.860293,40.787209,29.781805
gene118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene119,3.399792,4.860329,23.683303,18.511872,35.945669,21.476132,38.357948
gene120,0.000000,0.280225,5.635552,0.000000,0.000000,0.210475,0.000000
gene121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene123,0.084675,0.000000,0.000000,0.000000,0.214814,0.263223,0.000000
gene124,4.710315,34.512925,81.318606,77.972485,42.931150,45.315572,59.184028
gene125,0.257332,110.839129,763.491845,405.914540,1049.468016,441.152331,593.772380
gene126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene127,0.776654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene128,0.000000,0.000000,0.000000,0.045756,0.000000,0.000000,0.000000
gene129,0.000000,42.810320,0.000000,0.000000,0.000000,0.000000,0.000000
gene130,0.000000,0.000000,0.000000,0.039203,0.000000,0.000000,0.000000
gene131,2.869622,10.442944,0.135176,1.734847,7.663396,0.000000,0.769451
gene132,0.000000,0.000000,0.000000,0.000000,2.050363,0.000000,0.432696
